SRO	Syllabics	POS	MeaningInEnglish	RapidWordsClasses	RapidWordIndices	English_POS	English_Search
a	ᐊ	reduplicative prefix	To mean continuous action. Means always or keeps doing.	move; semantic_constituents_related_to_verbs; time	7.2; 9.4; 8.4	continuous#continuous_ADJ action#action_N ._ always#always_ADV or_CC keeps#keep_V doing#do_V ._	continuous action. always or keeps doing.
achahkos	ᐊᒐᐦᑯᐢ	n	A star.	sky; star; sun	1.1; 1.1.1.2; 1.1.1	A_DET star#star_N ._	a star.
achihtin	ᐊᒋᐦᑎᐣ	v phrase	It does not fit through.	arrange; big; fit_size; move_something; move_something_in_a_direction; push	7.5; 8.2; 8.2.7; 7.3; 7.3.2; 7.3.2.9	it_PRON_SUBJ does#do_V not#not_ADV fit#fit_V through_PREP ._	not fit through.
achim	ᐊᒋᒼ	v	Tell about him.	communication; describe; story	3.5; 3.5.1.2.2; 3.5.4	Tell#tell_V about_PREP him#he_PRON ._	tell about him.
achimaw	ᐊᒋᒪᐤ	v	A story is told about him.	communication; social_activity; story	3.5; 4.2; 3.5.4	A_DET story#story_N is#be_V told#tell_V about_PREP him#he_PRON ._	a story is told about him.
achimew	ᐊᒋᒣᐤ	v phrase	He is telling a story about him.	communication; social_activity; story	3.5; 4.2; 3.5.4	he_PRON_SUBJ is#be_V telling#tell_V a_DET story#story_N about_PREP him#he_PRON ._	be telling a story about him.
achimewak	ᐊᒋᒣᐊᐧᐠ	v	They are telling a story about him or them.	communication; social_activity; story	3.5; 4.2; 3.5.4	they_PRON_SUBJ are#be_V telling#tell_V a_DET story#story_N about_PREP him#he_PRON or_CC them#they_PRON ._	be telling a story about him or them.
achimoh	ᐊᒋᒧᐦ	v	You tell a story	communication; social_activity; story	3.5; 4.2; 3.5.4	you_PRON_SUBJ tell#tell_V a_DET story#story_N	tell a story
achimok	ᐊᒋᒧᐠ	v	All of you tell a story.	communication; social_activity; story	3.5; 4.2; 3.5.4	All_DET of_PREP you#you_PRON tell#tell_V a_DET story#story_N ._	all of you tell a story.
achimostamaew	ᐊᒋᒧᐢᑕᒪᐁᐤ	v	He tells a story for him or them.	communication; social_activity; story	3.5; 4.2; 3.5.4	he_PRON_SUBJ tells#tell_V a_DET story#story_N for_PREP him#he_PRON or_CC them#they_PRON ._	tell a story for him or them.
achimostamaw	ᐊᒋᒧᐢᑕᒪᐤ	v	Tell a story for him.	communication; social_activity; story	3.5; 4.2; 3.5.4	Tell#tell_V a_DET story#story_N for_PREP him#he_PRON ._	tell a story for him.
achimostamawaw	ᐊᒋᒧᐢᑕᒪᐊᐧᐤ	v	A story is told for him.	communication; social_activity; story	3.5; 4.2; 3.5.4	A_DET story#story_N is#be_V told#tell_V for_PREP him#he_PRON ._	a story is told for him.
achimostatowak	ᐊᒋᒧᐢᑕᑐᐊᐧᐠ	v	They are telling each other stories.	communication; social_activity; story	3.5; 4.2; 3.5.4	they_PRON_SUBJ are#be_V telling#tell_V each_DET other#other_ADJ stories#story_N ._	be telling each other stories.
achimostaw	ᐊᒋᒧᐢᑕᐤ	v	Tell him a story.	communication; social_activity; story	3.5; 4.2; 3.5.4	Tell#tell_V him#he_PRON a_DET story#story_N ._	tell him a story.
achimostawaw	ᐊᒋᒧᐢᑕᐊᐧᐤ	v	He was told a story.	communication; social_activity; story	3.5; 4.2; 3.5.4	he_PRON_SUBJ was#be_V told#tell_V a_DET story#story_N ._	be told a story.
achimostawew	ᐊᒋᒧᐢᑕᐁᐧᐤ	v	He is telling him or them a story.	communication; social_activity; story	3.5; 4.2; 3.5.4	he_PRON_SUBJ is#be_V telling#tell_V him#he_PRON or_CC them#they_PRON a_DET story#story_N ._	be telling him or them a story.
